Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory
scot-b,dev,src/main/resources/scotland_test_population,20170803-073317:797,0,false,58804,1y,100y,581445,0,0,1/1/1855,1/1/2016,93.416293397,0.0,0.0,results/scot-b/20170803-073317:797
scot-c,dev,src/main/resources/scotland_test_population,20170803-072225:311,0,false,58804,1y,100y,1166604,0,0,1/1/1855,1/1/2016,780.51882658,0.0,0.0,results/scot-c/20170803-072225:311
scot-b,dev,src/main/resources/scotland_test_population,20170803-073451:214,0,false,58804,1y,100y,539184,0,0,1/1/1855,1/1/2016,90.549275493,0.0,0.0,results/scot-b/20170803-073451:214
scot-b,dev,src/main/resources/scotland_test_population,20170803-073621:763,0,false,58804,1y,100y,595491,0,0,1/1/1855,1/1/2016,88.340178634,0.0,0.0,results/scot-b/20170803-073621:763
scot-b,dev,src/main/resources/scotland_test_population,20170803-073750:104,0,false,58804,1y,100y,629735,0,0,1/1/1855,1/1/2016,92.358395384,0.0,0.0,results/scot-b/20170803-073750:104
scot-b,dev,src/main/resources/scotland_test_population,20170803-073922:463,0,false,58804,1y,100y,476512,0,0,1/1/1855,1/1/2016,82.277073138,0.0,0.0,results/scot-b/20170803-073922:463
scot-b,dev,src/main/resources/scotland_test_population,20170803-074044:740,0,false,58804,1y,100y,691488,0,0,1/1/1855,1/1/2016,73.326660617,0.0,0.0,results/scot-b/20170803-074044:740
scot-b,dev,src/main/resources/scotland_test_population,20170803-074158:067,0,false,58804,1y,100y,592652,0,0,1/1/1855,1/1/2016,68.37617575,0.0,0.0,results/scot-b/20170803-074158:067
scot-b,dev,src/main/resources/scotland_test_population,20170803-074306:444,0,false,58804,1y,100y,687715,0,0,1/1/1855,1/1/2016,119.872329431,0.0,0.0,results/scot-b/20170803-074306:444
scot-b,dev,src/main/resources/scotland_test_population,20170803-074506:317,0,false,58804,1y,100y,572056,0,0,1/1/1855,1/1/2016,91.452414881,0.0,0.0,results/scot-b/20170803-074506:317
scot-c,dev,src/main/resources/scotland_test_population,20170803-073525:831,0,false,58804,1y,100y,1070397,0,0,1/1/1855,1/1/2016,713.98319755,0.0,0.0,results/scot-c/20170803-073525:831
scot-b,dev,src/main/resources/scotland_test_population,20170803-074637:770,0,false,58804,1y,100y,655597,0,0,1/1/1855,1/1/2016,121.260069549,0.0,0.0,results/scot-b/20170803-074637:770
scot-b,dev,src/main/resources/scotland_test_population,20170803-074839:030,0,false,58804,1y,100y,364963,0,0,1/1/1855,1/1/2016,106.807103802,0.0,0.0,results/scot-b/20170803-074839:030
scot-b,dev,src/main/resources/scotland_test_population,20170803-075025:838,0,false,58804,1y,100y,365076,0,0,1/1/1855,1/1/2016,104.717266002,0.0,0.0,results/scot-b/20170803-075025:838
scot-b,dev,src/main/resources/scotland_test_population,20170803-075210:556,0,false,58804,1y,100y,675868,0,0,1/1/1855,1/1/2016,69.422962002,0.0,0.0,results/scot-b/20170803-075210:556
scot-b,dev,src/main/resources/scotland_test_population,20170803-075319:979,0,false,58804,1y,100y,674045,0,0,1/1/1855,1/1/2016,68.382672309,0.0,0.0,results/scot-b/20170803-075319:979
scot-b,dev,src/main/resources/scotland_test_population,20170803-075428:362,0,false,58804,1y,100y,667573,0,0,1/1/1855,1/1/2016,106.14580691,0.0,0.0,results/scot-b/20170803-075428:362
