start.time,action,v.M
20180712-220923:975,RETAIN,7
20180712-221442:551,RETAIN,10
20180712-221840:870,RETAIN,18
20180712-220026:544,RETAIN,13
20180712-221445:701,RETAIN,11
20180712-221354:354,RETAIN,13
20180712-221240:402,RETAIN,19
20180712-221017:419,RETAIN,8
20180712-221359:575,RETAIN,8
20180712-222239:089,RETAIN,8
20180712-221640:775,RETAIN,14
20180712-221546:343,RETAIN,35
20180712-221520:770,RETAIN,27
20180712-221707:338,RETAIN,10
20180712-221610:974,RETAIN,16
20180712-221615:260,RETAIN,35
20180712-221754:682,RETAIN,23
20180712-222018:649,RETAIN,57
20180712-221539:748,RETAIN,42
20180712-222641:288,RETAIN,16
20180712-222147:450,RETAIN,25
20180712-221706:743,RERUN,8
20180712-221540:480,RETAIN,10
20180712-222030:308,RETAIN,6
20180712-221727:664,RETAIN,4
20180712-222332:710,RETAIN,18
20180712-223051:174,RETAIN,65
20180712-222514:185,RETAIN,10
20180712-221816:522,RERUN,15
20180712-222235:610,RETAIN,19
20180712-222350:235,RETAIN,38
20180712-222524:094,RETAIN,10
20180712-222357:562,RETAIN,2
20180712-222447:689,RETAIN,11
20180712-222545:711,RETAIN,19
20180712-223447:264,RETAIN,21
20180712-222707:541,RERUN,21
20180712-222644:992,RETAIN,13
20180712-222901:522,RETAIN,12
20180712-222724:203,RETAIN,4
20180712-222650:956,RETAIN,5
20180712-222954:802,RETAIN,23
20180712-221500:375,RETAIN,18
20180712-222733:229,RERUN,38
20180712-221232:776,RETAIN,49
20180712-223846:618,RETAIN,9
20180712-222853:376,RETAIN,8
20180712-222855:798,RETAIN,10
20180712-222853:891,RETAIN,13
20180712-222953:263,RETAIN,2
20180712-223359:993,RETAIN,9
20180712-223021:651,RETAIN,11
20180712-223317:470,RETAIN,15
20180712-223442:739,RETAIN,108
20180712-223007:316,RETAIN,10
20180712-224312:117,RETAIN,37
20180712-223920:118,RETAIN,15
20180712-223519:633,RETAIN,18
20180712-223453:932,RETAIN,0
20180712-223611:944,RETAIN,22
20180712-223807:109,RETAIN,40
20180712-223836:582,RETAIN,95
20180712-223509:505,RETAIN,15
20180712-223815:241,RETAIN,11
20180712-223819:229,RETAIN,10
20180712-223842:385,RETAIN,75
20180712-223845:041,RETAIN,8
20180712-224147:104,RETAIN,8
20180712-224347:688,RETAIN,8
20180712-224206:712,RETAIN,8
20180712-224425:253,RETAIN,20
20180712-224236:475,RETAIN,1
20180712-224541:687,RETAIN,18
20180712-224437:300,RETAIN,48
20180712-223012:422,RETAIN,11
20180712-224526:504,RETAIN,54
20180712-223024:019,RETAIN,20
20180712-224443:022,RETAIN,81
20180712-224315:309,RETAIN,4
20180712-224538:449,RETAIN,20
